Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
3117 ,    292.09 K ,    53.7 % ,    98.970 kPa
6121 ,    292.09 K ,    53.6 % ,    98.970 kPa
9125 ,    292.10 K ,    53.5 % ,    98.969 kPa
12130 ,    292.10 K ,    53.4 % ,    98.969 kPa
15134 ,    292.11 K ,    53.4 % ,    98.969 kPa
18139 ,    292.12 K ,    53.3 % ,    98.969 kPa
21143 ,    292.13 K ,    53.2 % ,    98.969 kPa
24147 ,    292.14 K ,    53.1 % ,    98.969 kPa
27153 ,    292.31 K ,    53.1 % ,    98.965 kPa
30157 ,    292.33 K ,    53.0 % ,    98.969 kPa
33162 ,    292.33 K ,    52.9 % ,    98.968 kPa
36166 ,    292.34 K ,    52.9 % ,    98.968 kPa
39171 ,    292.34 K ,    52.8 % ,    98.968 kPa
42175 ,    292.34 K ,    52.8 % ,    98.967 kPa
45179 ,    292.35 K ,    52.7 % ,    98.967 kPa
48184 ,    292.36 K ,    52.7 % ,    98.967 kPa
51188 ,    292.36 K ,    52.6 % ,    98.967 kPa
54193 ,    292.37 K ,    52.6 % ,    98.966 kPa
57197 ,    292.38 K ,    52.5 % ,    98.966 kPa
60201 ,    292.39 K ,    52.5 % ,    98.966 kPa
63207 ,    292.40 K ,    52.4 % ,    98.966 kPa
66211 ,    292.41 K ,    52.4 % ,    98.966 kPa
69216 ,    292.42 K ,    52.3 % ,    98.966 kPa
72220 ,    292.43 K ,    52.3 % ,    98.966 kPa
75225 ,    292.44 K ,    52.2 % ,    98.966 kPa
78229 ,    292.45 K ,    52.2 % ,    98.966 kPa
81233 ,    292.46 K ,    52.2 % ,    98.966 kPa
84238 ,    292.47 K ,    52.1 % ,    98.965 kPa
87242 ,    292.48 K ,    52.1 % ,    98.966 kPa
90247 ,    292.49 K ,    52.1 % ,    98.966 kPa
93251 ,    292.51 K ,    52.0 % ,    98.966 kPa
96256 ,    292.52 K ,    52.0 % ,    98.966 kPa
99261 ,    292.53 K ,    52.0 % ,    98.967 kPa
102265 ,    292.54 K ,    51.9 % ,    98.966 kPa
105270 ,    292.55 K ,    51.9 % ,    98.967 kPa
108274 ,    292.56 K ,    51.9 % ,    98.967 kPa
111279 ,    292.57 K ,    51.8 % ,    98.967 kPa
114283 ,    292.58 K ,    51.8 % ,    98.967 kPa
117287 ,    292.59 K ,    51.8 % ,    98.967 kPa
120292 ,    292.60 K ,    51.7 % ,    98.967 kPa
123296 ,    292.61 K ,    51.7 % ,    98.967 kPa
126302 ,    292.62 K ,    51.7 % ,    98.967 kPa
129306 ,    292.63 K ,    51.6 % ,    98.967 kPa
132311 ,    292.64 K ,    51.6 % ,    98.967 kPa
135315 ,    292.65 K ,    51.6 % ,    98.967 kPa
138319 ,    292.66 K ,    51.6 % ,    98.967 kPa
141324 ,    292.67 K ,    51.6 % ,    98.967 kPa
144328 ,    292.68 K ,    51.5 % ,    98.967 kPa
147334 ,    292.69 K ,    51.5 % ,    98.967 kPa
150338 ,    292.70 K ,    51.5 % ,    98.967 kPa
153342 ,    292.71 K ,    51.5 % ,    98.966 kPa
156347 ,    292.72 K ,    51.4 % ,    98.967 kPa
159351 ,    292.73 K ,    51.4 % ,    98.967 kPa
162356 ,    292.74 K ,    51.4 % ,    98.966 kPa
165360 ,    292.74 K ,    51.4 % ,    98.966 kPa
168365 ,    292.75 K ,    51.4 % ,    98.967 kPa
171370 ,    292.76 K ,    51.3 % ,    98.967 kPa
174374 ,    292.77 K ,    51.3 % ,    98.966 kPa
177379 ,    292.78 K ,    51.3 % ,    98.966 kPa
180383 ,    292.79 K ,    51.3 % ,    98.966 kPa
183388 ,    292.79 K ,    51.3 % ,    98.965 kPa
186392 ,    292.80 K ,    51.3 % ,    98.966 kPa
189396 ,    292.81 K ,    51.2 % ,    98.965 kPa
192401 ,    292.81 K ,    51.2 % ,    98.965 kPa
195406 ,    292.82 K ,    51.2 % ,    98.965 kPa
198411 ,    292.83 K ,    51.2 % ,    98.965 kPa
201415 ,    292.83 K ,    51.2 % ,    98.965 kPa
204420 ,    292.84 K ,    51.2 % ,    98.965 kPa
207424 ,    292.85 K ,    51.2 % ,    98.965 kPa
210428 ,    292.86 K ,    51.1 % ,    98.964 kPa
213433 ,    292.86 K ,    51.1 % ,    98.964 kPa
216437 ,    292.87 K ,    51.1 % ,    98.964 kPa
219443 ,    292.87 K ,    51.1 % ,    98.964 kPa
222447 ,    292.88 K ,    51.1 % ,    98.964 kPa
225452 ,    292.88 K ,    51.1 % ,    98.963 kPa
228456 ,    292.89 K ,    51.1 % ,    98.964 kPa
231460 ,    292.90 K ,    51.1 % ,    98.964 kPa
234465 ,    292.90 K ,    51.1 % ,    98.964 kPa
237469 ,    292.91 K ,    51.0 % ,    98.964 kPa
240474 ,    292.91 K ,    51.0 % ,    98.964 kPa
243479 ,    292.92 K ,    51.0 % ,    98.964 kPa
246483 ,    292.92 K ,    51.0 % ,    98.963 kPa
249488 ,    292.92 K ,    51.0 % ,    98.963 kPa
252492 ,    292.93 K ,    51.0 % ,    98.963 kPa
255497 ,    292.93 K ,    51.0 % ,    98.963 kPa
258501 ,    292.94 K ,    51.0 % ,    98.963 kPa
261506 ,    292.94 K ,    51.0 % ,    98.963 kPa
264510 ,    292.95 K ,    51.0 % ,    98.963 kPa
267515 ,    292.95 K ,    51.0 % ,    98.963 kPa
