Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
1154 ,    307.32 K ,    0.0 % ,    82.809 kPa
2160 ,    307.23 K ,    0.0 % ,    82.811 kPa
3166 ,    307.13 K ,    0.0 % ,    82.810 kPa
4172 ,    306.99 K ,    0.0 % ,    82.804 kPa
5179 ,    306.90 K ,    0.0 % ,    82.803 kPa
6184 ,    306.83 K ,    0.0 % ,    82.804 kPa
7191 ,    306.74 K ,    0.0 % ,    82.808 kPa
8198 ,    306.62 K ,    0.0 % ,    82.807 kPa
9204 ,    306.53 K ,    0.0 % ,    82.807 kPa
10210 ,    306.44 K ,    0.0 % ,    82.803 kPa
11216 ,    306.33 K ,    0.0 % ,    82.805 kPa
12223 ,    306.09 K ,    0.0 % ,    82.783 kPa
13229 ,    306.03 K ,    0.0 % ,    82.786 kPa
14235 ,    305.95 K ,    0.0 % ,    82.787 kPa
15242 ,    305.87 K ,    0.0 % ,    82.785 kPa
16248 ,    305.74 K ,    0.0 % ,    82.784 kPa
17254 ,    305.68 K ,    0.0 % ,    82.782 kPa
18260 ,    305.61 K ,    0.0 % ,    82.778 kPa
19267 ,    305.54 K ,    0.0 % ,    82.777 kPa
20274 ,    305.48 K ,    0.0 % ,    82.778 kPa
21279 ,    305.39 K ,    0.0 % ,    82.776 kPa
22286 ,    305.32 K ,    0.0 % ,    82.777 kPa
23292 ,    305.23 K ,    0.0 % ,    82.776 kPa
24299 ,    305.19 K ,    0.0 % ,    82.775 kPa
25305 ,    305.10 K ,    0.0 % ,    82.771 kPa
26311 ,    305.05 K ,    0.0 % ,    82.769 kPa
27318 ,    304.99 K ,    0.0 % ,    82.769 kPa
28323 ,    304.90 K ,    0.0 % ,    82.769 kPa
29330 ,    304.83 K ,    0.0 % ,    82.768 kPa
30337 ,    304.79 K ,    0.0 % ,    82.769 kPa
31343 ,    304.73 K ,    0.0 % ,    82.767 kPa
32349 ,    304.68 K ,    0.0 % ,    82.770 kPa
33355 ,    304.63 K ,    0.0 % ,    82.770 kPa
34362 ,    304.55 K ,    0.0 % ,    82.764 kPa
35368 ,    304.50 K ,    0.0 % ,    82.766 kPa
36374 ,    304.43 K ,    0.0 % ,    82.762 kPa
37381 ,    304.41 K ,    0.0 % ,    82.764 kPa
38387 ,    304.33 K ,    0.0 % ,    82.759 kPa
39394 ,    304.31 K ,    0.0 % ,    82.765 kPa
40399 ,    304.22 K ,    0.0 % ,    82.758 kPa
41406 ,    304.19 K ,    0.0 % ,    82.760 kPa
42413 ,    304.13 K ,    0.0 % ,    82.760 kPa
43419 ,    304.10 K ,    0.0 % ,    82.761 kPa
44425 ,    304.04 K ,    0.0 % ,    82.754 kPa
45431 ,    303.99 K ,    0.0 % ,    82.753 kPa
46438 ,    303.94 K ,    0.0 % ,    82.754 kPa
47444 ,    303.90 K ,    0.0 % ,    82.752 kPa
48450 ,    303.85 K ,    0.0 % ,    82.751 kPa
49457 ,    303.80 K ,    0.0 % ,    82.751 kPa
50463 ,    303.77 K ,    0.0 % ,    82.748 kPa
51469 ,    303.71 K ,    0.0 % ,    82.745 kPa
52475 ,    303.67 K ,    0.0 % ,    82.744 kPa
53482 ,    303.62 K ,    0.0 % ,    82.749 kPa
54489 ,    303.59 K ,    0.0 % ,    82.748 kPa
55494 ,    303.54 K ,    0.0 % ,    82.745 kPa
56501 ,    303.53 K ,    0.0 % ,    82.748 kPa
57507 ,    303.45 K ,    0.0 % ,    82.742 kPa
58514 ,    303.43 K ,    0.0 % ,    82.741 kPa
59520 ,    303.38 K ,    0.0 % ,    82.741 kPa
60526 ,    303.35 K ,    0.0 % ,    82.740 kPa
61533 ,    303.30 K ,    0.0 % ,    82.736 kPa
62539 ,    303.28 K ,    0.0 % ,    82.735 kPa
63545 ,    303.22 K ,    0.0 % ,    82.736 kPa
64551 ,    303.19 K ,    0.0 % ,    82.735 kPa
65558 ,    303.14 K ,    0.0 % ,    82.733 kPa
66565 ,    303.12 K ,    0.0 % ,    82.734 kPa
67570 ,    303.08 K ,    0.0 % ,    82.734 kPa
68577 ,    303.05 K ,    0.0 % ,    82.730 kPa
69583 ,    303.00 K ,    0.0 % ,    82.727 kPa
70590 ,    302.98 K ,    0.0 % ,    82.732 kPa
71596 ,    302.93 K ,    0.0 % ,    82.729 kPa
72602 ,    302.91 K ,    0.0 % ,    82.729 kPa
73609 ,    302.87 K ,    0.0 % ,    82.726 kPa
74615 ,    302.83 K ,    0.0 % ,    82.721 kPa
75621 ,    302.79 K ,    0.0 % ,    82.723 kPa
76627 ,    302.77 K ,    0.0 % ,    82.723 kPa
77634 ,    302.73 K ,    0.0 % ,    82.722 kPa
78640 ,    302.70 K ,    0.0 % ,    82.724 kPa
79646 ,    302.68 K ,    0.0 % ,    82.725 kPa
80653 ,    302.65 K ,    0.0 % ,    82.724 kPa
81659 ,    302.61 K ,    0.0 % ,    82.721 kPa
82665 ,    302.58 K ,    0.0 % ,    82.721 kPa
83672 ,    302.53 K ,    0.0 % ,    82.716 kPa
