Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
1155 ,    287.45 K ,    27.4 % ,    97.459 kPa
2161 ,    287.44 K ,    27.4 % ,    97.459 kPa
3168 ,    287.43 K ,    27.4 % ,    97.458 kPa
4173 ,    287.43 K ,    27.4 % ,    97.455 kPa
5180 ,    287.44 K ,    27.4 % ,    97.456 kPa
6187 ,    287.43 K ,    27.4 % ,    97.460 kPa
7193 ,    287.42 K ,    27.4 % ,    97.459 kPa
8199 ,    287.43 K ,    27.4 % ,    97.457 kPa
9205 ,    287.42 K ,    27.4 % ,    97.458 kPa
10212 ,    287.43 K ,    27.4 % ,    97.460 kPa
11218 ,    287.44 K ,    27.4 % ,    97.463 kPa
12225 ,    287.43 K ,    27.4 % ,    97.456 kPa
13231 ,    287.43 K ,    27.4 % ,    97.460 kPa
14237 ,    287.43 K ,    27.3 % ,    97.462 kPa
15244 ,    287.42 K ,    27.4 % ,    97.459 kPa
16250 ,    287.43 K ,    27.4 % ,    97.461 kPa
17257 ,    287.43 K ,    27.4 % ,    97.461 kPa
18263 ,    287.43 K ,    27.4 % ,    97.461 kPa
19269 ,    287.42 K ,    27.4 % ,    97.460 kPa
20276 ,    287.42 K ,    27.4 % ,    97.460 kPa
21282 ,    287.42 K ,    27.4 % ,    97.459 kPa
22289 ,    287.42 K ,    27.4 % ,    97.461 kPa
23296 ,    287.43 K ,    27.4 % ,    97.461 kPa
24301 ,    287.42 K ,    27.4 % ,    97.460 kPa
25308 ,    287.41 K ,    27.4 % ,    97.457 kPa
26314 ,    287.42 K ,    27.5 % ,    97.460 kPa
27321 ,    287.43 K ,    27.4 % ,    97.459 kPa
28327 ,    287.42 K ,    27.5 % ,    97.458 kPa
29333 ,    287.42 K ,    27.4 % ,    97.459 kPa
30340 ,    287.42 K ,    27.4 % ,    97.461 kPa
31346 ,    287.41 K ,    27.5 % ,    97.458 kPa
32353 ,    287.41 K ,    27.4 % ,    97.456 kPa
33359 ,    287.43 K ,    27.5 % ,    97.460 kPa
34365 ,    287.41 K ,    27.5 % ,    97.458 kPa
35372 ,    287.43 K ,    27.4 % ,    97.460 kPa
36378 ,    287.42 K ,    27.5 % ,    97.459 kPa
37385 ,    287.42 K ,    27.4 % ,    97.457 kPa
38391 ,    287.41 K ,    27.5 % ,    97.457 kPa
39397 ,    287.42 K ,    27.5 % ,    97.460 kPa
40403 ,    287.42 K ,    27.4 % ,    97.460 kPa
41410 ,    287.42 K ,    27.5 % ,    97.456 kPa
42417 ,    287.42 K ,    27.5 % ,    97.459 kPa
43423 ,    287.41 K ,    27.4 % ,    97.456 kPa
44430 ,    287.41 K ,    27.4 % ,    97.458 kPa
45435 ,    287.42 K ,    27.5 % ,    97.459 kPa
46442 ,    287.42 K ,    27.5 % ,    97.459 kPa
47449 ,    287.43 K ,    27.5 % ,    97.459 kPa
48455 ,    287.41 K ,    27.4 % ,    97.456 kPa
49462 ,    287.41 K ,    27.5 % ,    97.459 kPa
50467 ,    287.41 K ,    27.5 % ,    97.456 kPa
51474 ,    287.42 K ,    27.4 % ,    97.457 kPa
52481 ,    287.42 K ,    27.4 % ,    97.458 kPa
53487 ,    287.41 K ,    27.5 % ,    97.456 kPa
54494 ,    287.41 K ,    27.4 % ,    97.457 kPa
55499 ,    287.41 K ,    27.5 % ,    97.458 kPa
56506 ,    287.40 K ,    27.5 % ,    97.456 kPa
57512 ,    287.41 K ,    27.5 % ,    97.456 kPa
58519 ,    287.41 K ,    27.5 % ,    97.456 kPa
59526 ,    287.41 K ,    27.5 % ,    97.458 kPa
60531 ,    287.41 K ,    27.5 % ,    97.454 kPa
61538 ,    287.41 K ,    27.5 % ,    97.456 kPa
62544 ,    287.40 K ,    27.5 % ,    97.457 kPa
63551 ,    287.42 K ,    27.5 % ,    97.457 kPa
64558 ,    287.42 K ,    27.5 % ,    97.456 kPa
65563 ,    287.40 K ,    27.5 % ,    97.452 kPa
66570 ,    287.40 K ,    27.4 % ,    97.456 kPa
67576 ,    287.40 K ,    27.5 % ,    97.458 kPa
68583 ,    287.41 K ,    27.5 % ,    97.456 kPa
69590 ,    287.41 K ,    27.5 % ,    97.459 kPa
70595 ,    287.40 K ,    27.5 % ,    97.455 kPa
71602 ,    287.41 K ,    27.5 % ,    97.455 kPa
72608 ,    287.41 K ,    27.5 % ,    97.457 kPa
73615 ,    287.41 K ,    27.5 % ,    97.456 kPa
74621 ,    287.41 K ,    27.5 % ,    97.455 kPa
75628 ,    287.39 K ,    27.5 % ,    97.453 kPa
76634 ,    287.40 K ,    27.5 % ,    97.455 kPa
77640 ,    287.41 K ,    27.5 % ,    97.454 kPa
78647 ,    287.40 K ,    27.5 % ,    97.455 kPa
79653 ,    287.39 K ,    27.5 % ,    97.450 kPa
80660 ,    287.40 K ,    27.5 % ,    97.451 kPa
81666 ,    287.39 K ,    27.5 % ,    97.453 kPa
82672 ,    287.40 K ,    27.5 % ,    97.455 kPa
83679 ,    287.41 K ,    27.5 % ,    97.454 kPa
