Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
1155 ,    294.04 K ,    45.7 % ,    97.151 kPa
2161 ,    293.99 K ,    45.3 % ,    97.155 kPa
3168 ,    293.95 K ,    45.0 % ,    97.154 kPa
4173 ,    293.92 K ,    44.6 % ,    97.157 kPa
5180 ,    293.87 K ,    44.2 % ,    97.155 kPa
6187 ,    293.83 K ,    43.9 % ,    97.154 kPa
7193 ,    293.80 K ,    43.7 % ,    97.155 kPa
8199 ,    293.77 K ,    43.5 % ,    97.156 kPa
9205 ,    293.73 K ,    43.4 % ,    97.154 kPa
10212 ,    293.70 K ,    43.3 % ,    97.155 kPa
11218 ,    293.68 K ,    43.2 % ,    97.155 kPa
12224 ,    293.67 K ,    43.2 % ,    97.160 kPa
13231 ,    293.62 K ,    43.1 % ,    97.158 kPa
14237 ,    293.61 K ,    43.1 % ,    97.158 kPa
15244 ,    293.58 K ,    43.0 % ,    97.154 kPa
16250 ,    293.55 K ,    43.0 % ,    97.154 kPa
17257 ,    293.53 K ,    43.0 % ,    97.157 kPa
18263 ,    293.51 K ,    43.0 % ,    97.154 kPa
19269 ,    293.50 K ,    43.0 % ,    97.156 kPa
20276 ,    293.47 K ,    43.0 % ,    97.156 kPa
21282 ,    293.43 K ,    43.0 % ,    97.153 kPa
22289 ,    293.40 K ,    43.0 % ,    97.150 kPa
23294 ,    293.39 K ,    43.0 % ,    97.156 kPa
24301 ,    293.37 K ,    42.9 % ,    97.154 kPa
25308 ,    293.36 K ,    43.0 % ,    97.153 kPa
26314 ,    293.34 K ,    43.0 % ,    97.156 kPa
27321 ,    293.31 K ,    43.0 % ,    97.155 kPa
28326 ,    293.31 K ,    43.0 % ,    97.154 kPa
29333 ,    293.28 K ,    43.0 % ,    97.153 kPa
30340 ,    293.28 K ,    43.0 % ,    97.155 kPa
31346 ,    293.26 K ,    43.0 % ,    97.157 kPa
32353 ,    293.23 K ,    43.0 % ,    97.152 kPa
33358 ,    293.23 K ,    43.0 % ,    97.154 kPa
34365 ,    293.21 K ,    43.1 % ,    97.155 kPa
35372 ,    293.20 K ,    43.1 % ,    97.154 kPa
36378 ,    293.19 K ,    43.1 % ,    97.154 kPa
37385 ,    293.18 K ,    43.1 % ,    97.153 kPa
38390 ,    293.16 K ,    43.1 % ,    97.153 kPa
39397 ,    293.13 K ,    43.1 % ,    97.152 kPa
40403 ,    293.10 K ,    43.1 % ,    97.152 kPa
41410 ,    293.10 K ,    43.1 % ,    97.155 kPa
42417 ,    293.08 K ,    43.3 % ,    97.151 kPa
43422 ,    293.08 K ,    43.4 % ,    97.152 kPa
44429 ,    293.09 K ,    43.9 % ,    97.151 kPa
45435 ,    293.09 K ,    44.1 % ,    97.151 kPa
46442 ,    293.00 K ,    43.5 % ,    97.138 kPa
47449 ,    293.01 K ,    42.7 % ,    97.143 kPa
48455 ,    293.03 K ,    42.0 % ,    97.144 kPa
49461 ,    293.03 K ,    41.7 % ,    97.145 kPa
50467 ,    293.04 K ,    41.2 % ,    97.145 kPa
51474 ,    293.05 K ,    40.6 % ,    97.148 kPa
52481 ,    293.03 K ,    39.9 % ,    97.145 kPa
53487 ,    293.05 K ,    39.4 % ,    97.157 kPa
54493 ,    293.05 K ,    38.8 % ,    97.136 kPa
55499 ,    293.06 K ,    38.1 % ,    97.155 kPa
56506 ,    293.05 K ,    37.5 % ,    97.164 kPa
57512 ,    293.07 K ,    37.1 % ,    97.172 kPa
58519 ,    293.09 K ,    36.8 % ,    97.179 kPa
59525 ,    293.05 K ,    36.6 % ,    97.178 kPa
60531 ,    293.11 K ,    36.4 % ,    97.190 kPa
