Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
5179 ,    282.65 K ,    1.9 % ,    94.244 kPa
6185 ,    282.58 K ,    1.9 % ,    94.224 kPa
7191 ,    282.54 K ,    2.0 % ,    94.223 kPa
8198 ,    282.49 K ,    1.9 % ,    94.223 kPa
9204 ,    282.44 K ,    2.0 % ,    94.223 kPa
10211 ,    282.39 K ,    2.0 % ,    94.216 kPa
11216 ,    282.33 K ,    2.0 % ,    94.207 kPa
12223 ,    282.28 K ,    2.0 % ,    94.201 kPa
13230 ,    282.24 K ,    2.0 % ,    94.192 kPa
14236 ,    282.20 K ,    2.0 % ,    94.181 kPa
15242 ,    282.13 K ,    2.0 % ,    94.174 kPa
16248 ,    282.08 K ,    2.0 % ,    94.163 kPa
17255 ,    282.03 K ,    2.0 % ,    94.150 kPa
18262 ,    281.99 K ,    2.0 % ,    94.142 kPa
19267 ,    281.94 K ,    2.0 % ,    94.130 kPa
20274 ,    281.86 K ,    2.0 % ,    94.112 kPa
21280 ,    281.73 K ,    2.0 % ,    94.083 kPa
22287 ,    281.64 K ,    2.0 % ,    94.062 kPa
23292 ,    281.60 K ,    2.0 % ,    94.048 kPa
24299 ,    281.54 K ,    2.0 % ,    94.031 kPa
25306 ,    281.48 K ,    2.0 % ,    94.012 kPa
26312 ,    281.43 K ,    2.0 % ,    94.001 kPa
27318 ,    281.39 K ,    2.0 % ,    93.988 kPa
28324 ,    281.35 K ,    2.0 % ,    93.972 kPa
29331 ,    281.32 K ,    2.0 % ,    93.961 kPa
30338 ,    281.31 K ,    2.0 % ,    93.945 kPa
31343 ,    281.26 K ,    2.0 % ,    93.927 kPa
32350 ,    281.19 K ,    2.0 % ,    93.900 kPa
33356 ,    281.14 K ,    2.1 % ,    93.881 kPa
34363 ,    281.11 K ,    2.1 % ,    93.862 kPa
35369 ,    281.06 K ,    2.1 % ,    93.835 kPa
36375 ,    281.00 K ,    2.1 % ,    93.861 kPa
37382 ,    280.95 K ,    2.1 % ,    93.789 kPa
38388 ,    280.89 K ,    2.1 % ,    93.762 kPa
39395 ,    280.86 K ,    2.1 % ,    93.736 kPa
40400 ,    280.80 K ,    2.1 % ,    93.707 kPa
41407 ,    280.74 K ,    2.1 % ,    93.660 kPa
42414 ,    280.68 K ,    2.1 % ,    93.634 kPa
43420 ,    280.64 K ,    2.1 % ,    93.606 kPa
44426 ,    280.58 K ,    2.1 % ,    93.580 kPa
45432 ,    280.53 K ,    2.1 % ,    93.551 kPa
46439 ,    280.47 K ,    2.1 % ,    93.517 kPa
47446 ,    280.41 K ,    2.1 % ,    93.492 kPa
48452 ,    280.31 K ,    2.1 % ,    93.448 kPa
49458 ,    280.26 K ,    2.1 % ,    93.420 kPa
50464 ,    280.20 K ,    2.1 % ,    93.384 kPa
51471 ,    280.14 K ,    2.1 % ,    93.349 kPa
52477 ,    280.07 K ,    2.1 % ,    93.310 kPa
53483 ,    279.99 K ,    2.1 % ,    93.269 kPa
54490 ,    279.94 K ,    2.1 % ,    93.233 kPa
55496 ,    279.88 K ,    2.1 % ,    93.191 kPa
56503 ,    279.79 K ,    2.1 % ,    93.146 kPa
57508 ,    279.72 K ,    2.1 % ,    93.112 kPa
58515 ,    279.62 K ,    2.2 % ,    93.075 kPa
59522 ,    279.55 K ,    2.2 % ,    93.054 kPa
60528 ,    279.48 K ,    2.2 % ,    93.030 kPa
61535 ,    279.41 K ,    2.2 % ,    92.999 kPa
62540 ,    279.35 K ,    2.2 % ,    92.958 kPa
63547 ,    279.28 K ,    2.2 % ,    92.937 kPa
64553 ,    279.22 K ,    2.2 % ,    92.921 kPa
65560 ,    279.22 K ,    2.2 % ,    92.896 kPa
66566 ,    279.16 K ,    2.2 % ,    92.863 kPa
67572 ,    279.07 K ,    2.2 % ,    92.836 kPa
68579 ,    279.00 K ,    2.2 % ,    92.806 kPa
69585 ,    278.94 K ,    2.2 % ,    92.770 kPa
70591 ,    278.85 K ,    2.2 % ,    92.743 kPa
71598 ,    278.79 K ,    2.2 % ,    92.720 kPa
72604 ,    278.74 K ,    2.2 % ,    92.699 kPa
73611 ,    278.67 K ,    2.2 % ,    92.673 kPa
74616 ,    278.58 K ,    2.2 % ,    92.643 kPa
75623 ,    278.52 K ,    2.2 % ,    92.617 kPa
76630 ,    278.45 K ,    2.2 % ,    92.589 kPa
77636 ,    278.39 K ,    2.2 % ,    92.563 kPa
78643 ,    278.32 K ,    2.3 % ,    92.549 kPa
79648 ,    278.25 K ,    2.3 % ,    92.536 kPa
80655 ,    278.19 K ,    2.3 % ,    92.517 kPa
81661 ,    278.09 K ,    2.3 % ,    92.495 kPa
82668 ,    278.02 K ,    2.3 % ,    92.475 kPa
83674 ,    277.95 K ,    2.3 % ,    92.445 kPa
84680 ,    277.90 K ,    2.3 % ,    92.428 kPa
85687 ,    277.84 K ,    2.3 % ,    92.408 kPa
