Tempo relativo (ms) , Temperatura (K), Umidita (%), Pressione (kPa)
3117 ,    291.40 K ,    29.4 % ,    98.577 kPa
6121 ,    291.38 K ,    29.4 % ,    98.574 kPa
9125 ,    291.38 K ,    29.4 % ,    98.574 kPa
12130 ,    291.38 K ,    29.4 % ,    98.574 kPa
15134 ,    291.38 K ,    29.4 % ,    98.574 kPa
18139 ,    291.38 K ,    29.4 % ,    98.574 kPa
21143 ,    291.39 K ,    29.3 % ,    98.576 kPa
24147 ,    291.40 K ,    29.3 % ,    98.577 kPa
27153 ,    291.40 K ,    29.3 % ,    98.579 kPa
30157 ,    291.40 K ,    29.3 % ,    98.577 kPa
33162 ,    291.41 K ,    29.3 % ,    98.578 kPa
36166 ,    291.41 K ,    29.3 % ,    98.578 kPa
39171 ,    291.42 K ,    29.2 % ,    98.574 kPa
42175 ,    291.41 K ,    29.2 % ,    98.579 kPa
45179 ,    291.41 K ,    29.2 % ,    98.579 kPa
48184 ,    291.43 K ,    29.2 % ,    98.578 kPa
51188 ,    291.42 K ,    29.2 % ,    98.586 kPa
54193 ,    291.41 K ,    29.2 % ,    98.581 kPa
57197 ,    291.41 K ,    29.2 % ,    98.584 kPa
60201 ,    291.41 K ,    29.1 % ,    98.584 kPa
63207 ,    291.42 K ,    29.1 % ,    98.580 kPa
66211 ,    291.42 K ,    29.1 % ,    98.582 kPa
69216 ,    291.41 K ,    29.1 % ,    98.582 kPa
72220 ,    291.42 K ,    29.1 % ,    98.582 kPa
75225 ,    291.40 K ,    29.1 % ,    98.577 kPa
78229 ,    291.40 K ,    29.1 % ,    98.577 kPa
81233 ,    291.40 K ,    29.1 % ,    98.577 kPa
84238 ,    291.40 K ,    29.1 % ,    98.577 kPa
87242 ,    291.38 K ,    29.1 % ,    98.579 kPa
90247 ,    291.37 K ,    29.1 % ,    98.581 kPa
93251 ,    291.37 K ,    29.1 % ,    98.580 kPa
96256 ,    291.36 K ,    29.1 % ,    98.582 kPa
99261 ,    291.36 K ,    29.1 % ,    98.575 kPa
102265 ,    291.35 K ,    29.1 % ,    98.575 kPa
105270 ,    291.34 K ,    29.1 % ,    98.584 kPa
108274 ,    291.33 K ,    29.1 % ,    98.581 kPa
111279 ,    291.32 K ,    29.1 % ,    98.581 kPa
114283 ,    291.31 K ,    29.1 % ,    98.579 kPa
117287 ,    291.30 K ,    29.1 % ,    98.583 kPa
120292 ,    291.30 K ,    29.1 % ,    98.582 kPa
123297 ,    291.30 K ,    29.0 % ,    98.582 kPa
126302 ,    291.29 K ,    29.0 % ,    98.582 kPa
129306 ,    291.29 K ,    29.0 % ,    98.581 kPa
132311 ,    291.29 K ,    29.1 % ,    98.581 kPa
135315 ,    291.28 K ,    29.1 % ,    98.581 kPa
138319 ,    291.28 K ,    29.1 % ,    98.581 kPa
141324 ,    291.27 K ,    29.1 % ,    98.580 kPa
144328 ,    291.27 K ,    29.1 % ,    98.580 kPa
147333 ,    291.26 K ,    29.1 % ,    98.580 kPa
150338 ,    291.25 K ,    29.1 % ,    98.580 kPa
153342 ,    291.15 K ,    29.1 % ,    98.583 kPa
156347 ,    291.11 K ,    29.1 % ,    98.575 kPa
159351 ,    291.11 K ,    29.1 % ,    98.575 kPa
162356 ,    291.11 K ,    29.1 % ,    98.576 kPa
165360 ,    291.11 K ,    29.1 % ,    98.576 kPa
168365 ,    291.10 K ,    29.1 % ,    98.576 kPa
171370 ,    291.10 K ,    29.2 % ,    98.576 kPa
174374 ,    291.09 K ,    29.2 % ,    98.577 kPa
177379 ,    291.09 K ,    29.2 % ,    98.576 kPa
180383 ,    291.08 K ,    29.2 % ,    98.577 kPa
183388 ,    291.07 K ,    29.2 % ,    98.577 kPa
186392 ,    291.06 K ,    29.2 % ,    98.576 kPa
189396 ,    291.06 K ,    29.2 % ,    98.577 kPa
192401 ,    291.04 K ,    29.2 % ,    98.577 kPa
195405 ,    291.03 K ,    29.2 % ,    98.577 kPa
198411 ,    291.02 K ,    29.2 % ,    98.577 kPa
201415 ,    290.86 K ,    29.3 % ,    98.576 kPa
204420 ,    290.83 K ,    29.3 % ,    98.579 kPa
207424 ,    290.83 K ,    29.3 % ,    98.579 kPa
210428 ,    290.82 K ,    29.3 % ,    98.578 kPa
213433 ,    290.82 K ,    29.3 % ,    98.578 kPa
216437 ,    290.82 K ,    29.3 % ,    98.577 kPa
219442 ,    290.81 K ,    29.3 % ,    98.577 kPa
222447 ,    290.80 K ,    29.3 % ,    98.576 kPa
225452 ,    290.71 K ,    29.3 % ,    98.573 kPa
228456 ,    290.68 K ,    29.3 % ,    98.571 kPa
231460 ,    290.68 K ,    29.3 % ,    98.571 kPa
234465 ,    290.68 K ,    29.3 % ,    98.571 kPa
237469 ,    290.67 K ,    29.3 % ,    98.571 kPa
240474 ,    290.67 K ,    29.3 % ,    98.571 kPa
243479 ,    290.60 K ,    29.3 % ,    98.570 kPa
246483 ,    290.58 K ,    29.4 % ,    98.571 kPa
249488 ,    290.57 K ,    29.4 % ,    98.572 kPa
