Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
3117 ,    276.83 K ,    26.7 % ,    97.658 kPa
6121 ,    276.83 K ,    26.6 % ,    97.658 kPa
9125 ,    276.84 K ,    26.6 % ,    97.658 kPa
12130 ,    276.84 K ,    26.5 % ,    97.658 kPa
15134 ,    276.86 K ,    26.5 % ,    97.658 kPa
18139 ,    276.87 K ,    26.5 % ,    97.658 kPa
21143 ,    276.89 K ,    26.4 % ,    97.659 kPa
24148 ,    276.90 K ,    26.4 % ,    97.658 kPa
27153 ,    276.92 K ,    26.3 % ,    97.658 kPa
30157 ,    277.29 K ,    26.3 % ,    97.663 kPa
33162 ,    277.35 K ,    26.2 % ,    97.661 kPa
36166 ,    277.35 K ,    26.2 % ,    97.660 kPa
39171 ,    277.36 K ,    26.1 % ,    97.660 kPa
42175 ,    277.37 K ,    26.1 % ,    97.659 kPa
45179 ,    277.38 K ,    26.0 % ,    97.659 kPa
48184 ,    277.40 K ,    25.9 % ,    97.658 kPa
51188 ,    277.42 K ,    25.9 % ,    97.658 kPa
54193 ,    277.45 K ,    25.8 % ,    97.658 kPa
57197 ,    277.47 K ,    25.8 % ,    97.657 kPa
60203 ,    277.50 K ,    25.7 % ,    97.657 kPa
63207 ,    277.54 K ,    25.6 % ,    97.657 kPa
66211 ,    278.12 K ,    25.5 % ,    97.656 kPa
69216 ,    278.19 K ,    25.5 % ,    97.659 kPa
72220 ,    278.20 K ,    25.4 % ,    97.658 kPa
75225 ,    278.21 K ,    25.4 % ,    97.658 kPa
78229 ,    278.22 K ,    25.3 % ,    97.658 kPa
81233 ,    278.24 K ,    25.2 % ,    97.657 kPa
84238 ,    278.27 K ,    25.2 % ,    97.657 kPa
87242 ,    278.30 K ,    25.1 % ,    97.657 kPa
90247 ,    278.33 K ,    25.0 % ,    97.657 kPa
93251 ,    278.37 K ,    24.9 % ,    97.657 kPa
96257 ,    278.41 K ,    24.9 % ,    97.657 kPa
99261 ,    278.46 K ,    24.8 % ,    97.657 kPa
102265 ,    278.51 K ,    24.7 % ,    97.657 kPa
105270 ,    278.56 K ,    24.6 % ,    97.657 kPa
108274 ,    278.62 K ,    24.6 % ,    97.657 kPa
111279 ,    278.68 K ,    24.5 % ,    97.656 kPa
114283 ,    278.75 K ,    24.4 % ,    97.656 kPa
117287 ,    278.82 K ,    24.3 % ,    97.656 kPa
120292 ,    278.89 K ,    24.2 % ,    97.657 kPa
123297 ,    278.97 K ,    24.1 % ,    97.656 kPa
126302 ,    280.24 K ,    24.0 % ,    97.659 kPa
129306 ,    280.38 K ,    23.9 % ,    97.654 kPa
132311 ,    280.39 K ,    23.8 % ,    97.654 kPa
135315 ,    280.41 K ,    23.7 % ,    97.654 kPa
138319 ,    280.43 K ,    23.6 % ,    97.655 kPa
141324 ,    280.47 K ,    23.5 % ,    97.655 kPa
144329 ,    280.51 K ,    23.4 % ,    97.655 kPa
147334 ,    280.55 K ,    23.3 % ,    97.655 kPa
150338 ,    280.61 K ,    23.2 % ,    97.655 kPa
153342 ,    280.67 K ,    23.1 % ,    97.656 kPa
156347 ,    280.74 K ,    23.0 % ,    97.656 kPa
159351 ,    280.81 K ,    22.9 % ,    97.656 kPa
162356 ,    280.89 K ,    22.8 % ,    97.656 kPa
165360 ,    280.97 K ,    22.7 % ,    97.656 kPa
168366 ,    281.06 K ,    22.6 % ,    97.655 kPa
171370 ,    281.16 K ,    22.5 % ,    97.655 kPa
174374 ,    281.26 K ,    22.4 % ,    97.655 kPa
177379 ,    281.37 K ,    22.3 % ,    97.655 kPa
180383 ,    281.48 K ,    22.2 % ,    97.655 kPa
183388 ,    281.60 K ,    22.0 % ,    97.655 kPa
186392 ,    281.72 K ,    21.9 % ,    97.655 kPa
189396 ,    281.85 K ,    21.8 % ,    97.655 kPa
192402 ,    281.98 K ,    21.7 % ,    97.655 kPa
195406 ,    282.11 K ,    21.6 % ,    97.655 kPa
198411 ,    282.25 K ,    21.4 % ,    97.655 kPa
201415 ,    282.40 K ,    21.3 % ,    97.655 kPa
204420 ,    282.55 K ,    21.2 % ,    97.655 kPa
207424 ,    282.70 K ,    21.0 % ,    97.654 kPa
210428 ,    282.86 K ,    20.9 % ,    97.655 kPa
213433 ,    283.02 K ,    20.8 % ,    97.655 kPa
216438 ,    283.18 K ,    20.7 % ,    97.655 kPa
219443 ,    283.36 K ,    20.6 % ,    97.655 kPa
222447 ,    283.53 K ,    20.4 % ,    97.655 kPa
225452 ,    283.71 K ,    20.3 % ,    97.655 kPa
228456 ,    283.89 K ,    20.2 % ,    97.655 kPa
231460 ,    284.08 K ,    20.0 % ,    97.655 kPa
234465 ,    284.27 K ,    19.9 % ,    97.655 kPa
237469 ,    284.46 K ,    19.8 % ,    97.655 kPa
240475 ,    284.66 K ,    19.6 % ,    97.655 kPa
243479 ,    284.86 K ,    19.5 % ,    97.654 kPa
246483 ,    285.06 K ,    19.4 % ,    97.655 kPa
249488 ,    285.27 K ,    19.2 % ,    97.654 kPa
252492 ,    285.48 K ,    19.1 % ,    97.654 kPa
255497 ,    285.70 K ,    19.0 % ,    97.654 kPa
258501 ,    285.92 K ,    18.8 % ,    97.654 kPa
261506 ,    286.14 K ,    18.7 % ,    97.655 kPa
264511 ,    286.37 K ,    18.5 % ,    97.655 kPa
267515 ,    286.60 K ,    18.4 % ,    97.655 kPa
270520 ,    286.83 K ,    18.3 % ,    97.656 kPa
273524 ,    287.07 K ,    18.1 % ,    97.655 kPa
276529 ,    287.31 K ,    18.0 % ,    97.656 kPa
279533 ,    287.56 K ,    17.9 % ,    97.655 kPa
