Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
3117 ,    290.53 K ,    26.4 % ,    97.850 kPa
6121 ,    290.51 K ,    26.4 % ,    97.841 kPa
9125 ,    290.51 K ,    26.4 % ,    97.841 kPa
12130 ,    290.51 K ,    26.4 % ,    97.841 kPa
15134 ,    290.51 K ,    26.4 % ,    97.841 kPa
18139 ,    290.51 K ,    26.4 % ,    97.841 kPa
21143 ,    290.51 K ,    26.4 % ,    97.841 kPa
24148 ,    290.51 K ,    26.4 % ,    97.841 kPa
27153 ,    290.51 K ,    26.4 % ,    97.841 kPa
30157 ,    290.52 K ,    26.4 % ,    97.843 kPa
33162 ,    290.51 K ,    26.4 % ,    97.836 kPa
36166 ,    290.51 K ,    26.4 % ,    97.836 kPa
39171 ,    290.51 K ,    26.4 % ,    97.837 kPa
42175 ,    290.51 K ,    26.4 % ,    97.838 kPa
45179 ,    290.51 K ,    26.4 % ,    97.838 kPa
48184 ,    290.51 K ,    26.4 % ,    97.838 kPa
51188 ,    290.52 K ,    26.4 % ,    97.838 kPa
54193 ,    290.52 K ,    26.4 % ,    97.838 kPa
57197 ,    290.52 K ,    26.4 % ,    97.839 kPa
60203 ,    290.52 K ,    26.4 % ,    97.839 kPa
63207 ,    290.52 K ,    26.4 % ,    97.839 kPa
66211 ,    290.52 K ,    26.4 % ,    97.839 kPa
69216 ,    290.52 K ,    26.4 % ,    97.839 kPa
72220 ,    290.52 K ,    26.4 % ,    97.840 kPa
75225 ,    290.52 K ,    26.4 % ,    97.839 kPa
78229 ,    290.52 K ,    26.4 % ,    97.839 kPa
81233 ,    290.52 K ,    26.4 % ,    97.839 kPa
84238 ,    290.53 K ,    26.4 % ,    97.840 kPa
87242 ,    290.53 K ,    26.4 % ,    97.840 kPa
90247 ,    290.53 K ,    26.4 % ,    97.840 kPa
93251 ,    290.54 K ,    26.4 % ,    97.840 kPa
96257 ,    290.54 K ,    26.4 % ,    97.841 kPa
99261 ,    290.55 K ,    26.4 % ,    97.842 kPa
102265 ,    290.63 K ,    26.4 % ,    97.868 kPa
105270 ,    290.65 K ,    26.4 % ,    97.877 kPa
108274 ,    290.65 K ,    26.3 % ,    97.878 kPa
111279 ,    290.65 K ,    26.3 % ,    97.878 kPa
114283 ,    290.65 K ,    26.3 % ,    97.878 kPa
117287 ,    290.65 K ,    26.3 % ,    97.878 kPa
120292 ,    290.66 K ,    26.3 % ,    97.878 kPa
123297 ,    290.73 K ,    26.3 % ,    97.884 kPa
126302 ,    290.75 K ,    26.3 % ,    97.883 kPa
129306 ,    290.75 K ,    26.3 % ,    97.884 kPa
132311 ,    290.75 K ,    26.3 % ,    97.885 kPa
135315 ,    290.75 K ,    26.2 % ,    97.886 kPa
138352 ,    nan K ,    nan % ,    nan kPa
141879 ,    nan K ,    nan % ,    nan kPa
144880 ,    nan K ,    nan % ,    nan kPa
147881 ,    nan K ,    nan % ,    nan kPa
150883 ,    nan K ,    nan % ,    nan kPa
153884 ,    nan K ,    nan % ,    nan kPa
156886 ,    nan K ,    nan % ,    nan kPa
159887 ,    nan K ,    nan % ,    nan kPa
162888 ,    nan K ,    nan % ,    nan kPa
165890 ,    nan K ,    nan % ,    nan kPa
168891 ,    nan K ,    nan % ,    nan kPa
171892 ,    nan K ,    nan % ,    nan kPa
174894 ,    nan K ,    nan % ,    nan kPa
177895 ,    nan K ,    nan % ,    nan kPa
180896 ,    nan K ,    nan % ,    nan kPa
183898 ,    nan K ,    nan % ,    nan kPa
186899 ,    nan K ,    nan % ,    nan kPa
189900 ,    nan K ,    nan % ,    nan kPa
192902 ,    nan K ,    nan % ,    nan kPa
195903 ,    nan K ,    nan % ,    nan kPa
198904 ,    nan K ,    nan % ,    nan kPa
201906 ,    nan K ,    nan % ,    nan kPa
204907 ,    nan K ,    nan % ,    nan kPa
207908 ,    nan K ,    nan % ,    nan kPa
210910 ,    nan K ,    nan % ,    nan kPa
213911 ,    nan K ,    nan % ,    nan kPa
216912 ,    nan K ,    nan % ,    nan kPa
219914 ,    nan K ,    nan % ,    nan kPa
222915 ,    nan K ,    nan % ,    nan kPa
225916 ,    nan K ,    nan % ,    nan kPa
3117 ,    290.65 K ,    26.6 % ,    97.914 kPa
6121 ,    290.63 K ,    26.6 % ,    97.919 kPa
9125 ,    290.63 K ,    26.6 % ,    97.919 kPa
12130 ,    290.63 K ,    26.6 % ,    97.918 kPa
15134 ,    290.63 K ,    26.6 % ,    97.918 kPa
18139 ,    290.63 K ,    26.6 % ,    97.918 kPa
