Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
3117 ,    291.78 K ,    28.7 % ,    97.721 kPa
6121 ,    291.76 K ,    28.7 % ,    97.721 kPa
9125 ,    291.74 K ,    28.6 % ,    97.722 kPa
12130 ,    291.71 K ,    28.6 % ,    97.722 kPa
15134 ,    291.66 K ,    28.6 % ,    97.724 kPa
18139 ,    291.60 K ,    28.6 % ,    97.725 kPa
21143 ,    291.53 K ,    28.6 % ,    97.725 kPa
24148 ,    291.46 K ,    28.6 % ,    97.727 kPa
27153 ,    291.37 K ,    28.6 % ,    97.727 kPa
30157 ,    289.79 K ,    28.6 % ,    97.739 kPa
33162 ,    289.56 K ,    28.6 % ,    97.745 kPa
36166 ,    289.54 K ,    28.6 % ,    97.745 kPa
39171 ,    289.51 K ,    28.6 % ,    97.745 kPa
42175 ,    289.47 K ,    28.6 % ,    97.745 kPa
45179 ,    289.41 K ,    28.6 % ,    97.745 kPa
48184 ,    289.34 K ,    28.6 % ,    97.745 kPa
51188 ,    289.26 K ,    28.7 % ,    97.745 kPa
54193 ,    289.17 K ,    28.8 % ,    97.745 kPa
57197 ,    289.07 K ,    28.9 % ,    97.745 kPa
60203 ,    288.96 K ,    28.9 % ,    97.745 kPa
63207 ,    288.84 K ,    29.0 % ,    97.745 kPa
66211 ,    286.80 K ,    29.1 % ,    97.750 kPa
69216 ,    286.57 K ,    29.2 % ,    97.753 kPa
72220 ,    286.55 K ,    29.2 % ,    97.754 kPa
75225 ,    286.52 K ,    29.2 % ,    97.753 kPa
78229 ,    286.47 K ,    29.4 % ,    97.753 kPa
81233 ,    286.42 K ,    29.5 % ,    97.753 kPa
84238 ,    286.35 K ,    29.7 % ,    97.753 kPa
87242 ,    286.27 K ,    29.7 % ,    97.753 kPa
90247 ,    286.18 K ,    29.8 % ,    97.754 kPa
93251 ,    286.08 K ,    29.8 % ,    97.754 kPa
96257 ,    285.96 K ,    30.0 % ,    97.754 kPa
99261 ,    285.85 K ,    30.2 % ,    97.754 kPa
102265 ,    283.85 K ,    30.3 % ,    97.753 kPa
105270 ,    283.61 K ,    30.4 % ,    97.755 kPa
108274 ,    283.59 K ,    30.6 % ,    97.755 kPa
111279 ,    283.56 K ,    30.6 % ,    97.756 kPa
114283 ,    283.52 K ,    30.8 % ,    97.756 kPa
117287 ,    283.47 K ,    31.0 % ,    97.757 kPa
120292 ,    283.40 K ,    31.1 % ,    97.758 kPa
123297 ,    283.33 K ,    31.3 % ,    97.759 kPa
126302 ,    283.24 K ,    31.4 % ,    97.760 kPa
129306 ,    283.15 K ,    31.5 % ,    97.760 kPa
132311 ,    283.05 K ,    31.7 % ,    97.760 kPa
135315 ,    282.94 K ,    31.8 % ,    97.761 kPa
138319 ,    282.83 K ,    32.0 % ,    97.761 kPa
141324 ,    282.71 K ,    32.1 % ,    97.762 kPa
144328 ,    282.58 K ,    32.3 % ,    97.762 kPa
147334 ,    282.45 K ,    32.4 % ,    97.763 kPa
150338 ,    280.24 K ,    32.5 % ,    97.772 kPa
153342 ,    280.05 K ,    32.8 % ,    97.770 kPa
156347 ,    279.84 K ,    33.0 % ,    97.792 kPa
159351 ,    279.64 K ,    33.1 % ,    97.778 kPa
162356 ,    279.43 K ,    33.2 % ,    97.782 kPa
165360 ,    279.23 K ,    33.4 % ,    97.780 kPa
168365 ,    279.03 K ,    33.5 % ,    97.780 kPa
171370 ,    278.83 K ,    33.7 % ,    97.777 kPa
174374 ,    278.63 K ,    33.9 % ,    97.778 kPa
177379 ,    278.45 K ,    34.0 % ,    97.779 kPa
180383 ,    278.25 K ,    34.2 % ,    97.781 kPa
