Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
1155 ,    303.38 K ,    31.2 % ,    96.076 kPa
2161 ,    303.46 K ,    30.9 % ,    96.076 kPa
3168 ,    303.43 K ,    30.7 % ,    96.075 kPa
4173 ,    303.38 K ,    30.6 % ,    96.075 kPa
5180 ,    303.40 K ,    30.5 % ,    96.077 kPa
6187 ,    303.37 K ,    30.4 % ,    96.078 kPa
7193 ,    303.38 K ,    30.2 % ,    96.074 kPa
8199 ,    303.37 K ,    30.2 % ,    96.078 kPa
9205 ,    303.36 K ,    30.2 % ,    96.079 kPa
10212 ,    303.44 K ,    36.8 % ,    96.074 kPa
11218 ,    303.81 K ,    46.5 % ,    96.075 kPa
12224 ,    304.20 K ,    54.0 % ,    96.074 kPa
13231 ,    304.41 K ,    56.8 % ,    96.073 kPa
14237 ,    304.35 K ,    48.9 % ,    96.076 kPa
15244 ,    304.34 K ,    43.3 % ,    96.077 kPa
16250 ,    304.37 K ,    39.8 % ,    96.076 kPa
17256 ,    304.36 K ,    37.5 % ,    96.078 kPa
18263 ,    304.37 K ,    35.8 % ,    96.077 kPa
19269 ,    304.27 K ,    34.5 % ,    96.075 kPa
20276 ,    304.20 K ,    33.5 % ,    96.076 kPa
21282 ,    304.19 K ,    32.8 % ,    96.077 kPa
22288 ,    304.22 K ,    32.1 % ,    96.075 kPa
23292 ,    453.75 K ,    100.0 % ,    -14.242 kPa
24296 ,    453.75 K ,    100.0 % ,    -14.242 kPa
25300 ,    453.75 K ,    100.0 % ,    -14.242 kPa
26304 ,    453.75 K ,    100.0 % ,    -14.242 kPa
27309 ,    453.75 K ,    100.0 % ,    -14.242 kPa
28312 ,    453.75 K ,    100.0 % ,    -14.242 kPa
29317 ,    453.75 K ,    100.0 % ,    -14.242 kPa
30320 ,    453.75 K ,    100.0 % ,    -14.242 kPa
31325 ,    453.75 K ,    100.0 % ,    -14.242 kPa
32328 ,    453.75 K ,    100.0 % ,    -14.242 kPa
33333 ,    453.75 K ,    100.0 % ,    -14.242 kPa
34336 ,    453.75 K ,    100.0 % ,    -14.242 kPa
35341 ,    453.75 K ,    100.0 % ,    -14.242 kPa
36344 ,    453.75 K ,    100.0 % ,    -14.242 kPa
37349 ,    453.75 K ,    100.0 % ,    -14.242 kPa
38352 ,    453.75 K ,    100.0 % ,    -14.242 kPa
39357 ,    453.75 K ,    100.0 % ,    -14.242 kPa
40360 ,    453.75 K ,    100.0 % ,    -14.242 kPa
41365 ,    453.75 K ,    100.0 % ,    -14.242 kPa
42369 ,    453.75 K ,    100.0 % ,    -14.242 kPa
43373 ,    453.75 K ,    100.0 % ,    -14.242 kPa
44377 ,    453.75 K ,    100.0 % ,    -14.242 kPa
45381 ,    453.75 K ,    100.0 % ,    -14.242 kPa
46385 ,    453.75 K ,    100.0 % ,    -14.242 kPa
47389 ,    453.75 K ,    100.0 % ,    -14.242 kPa
48393 ,    453.75 K ,    100.0 % ,    -14.242 kPa
49397 ,    453.75 K ,    100.0 % ,    -14.242 kPa
50401 ,    453.75 K ,    100.0 % ,    -14.242 kPa
51405 ,    453.75 K ,    100.0 % ,    -14.242 kPa
52409 ,    453.75 K ,    100.0 % ,    -14.242 kPa
53413 ,    453.75 K ,    100.0 % ,    -14.242 kPa
1155 ,    297.50 K ,    41.2 % ,    96.103 kPa
2161 ,    297.50 K ,    41.2 % ,    96.104 kPa
3168 ,    297.49 K ,    41.2 % ,    96.101 kPa
4173 ,    297.48 K ,    41.2 % ,    96.104 kPa
5180 ,    297.46 K ,    41.2 % ,    96.103 kPa
6187 ,    297.45 K ,    41.2 % ,    96.103 kPa
7193 ,    297.48 K ,    41.2 % ,    96.107 kPa
8199 ,    297.49 K ,    41.2 % ,    96.099 kPa
9205 ,    297.47 K ,    41.2 % ,    96.103 kPa
10212 ,    297.67 K ,    41.2 % ,    96.117 kPa
11218 ,    297.74 K ,    41.1 % ,    96.113 kPa
12224 ,    297.77 K ,    41.0 % ,    96.113 kPa
13231 ,    297.79 K ,    41.0 % ,    96.117 kPa
14237 ,    297.77 K ,    41.1 % ,    96.117 kPa
15244 ,    297.75 K ,    41.5 % ,    96.117 kPa
16250 ,    297.58 K ,    41.9 % ,    96.103 kPa
17256 ,    297.56 K ,    42.8 % ,    96.109 kPa
18263 ,    297.65 K ,    43.0 % ,    96.117 kPa
19269 ,    297.51 K ,    42.7 % ,    96.106 kPa
20276 ,    297.42 K ,    43.1 % ,    96.101 kPa
21282 ,    297.35 K ,    42.5 % ,    96.102 kPa
22288 ,    297.39 K ,    42.0 % ,    96.102 kPa
23294 ,    297.36 K ,    41.6 % ,    96.102 kPa
24301 ,    297.42 K ,    41.4 % ,    96.111 kPa
25308 ,    297.16 K ,    41.4 % ,    96.096 kPa
26314 ,    297.10 K ,    41.5 % ,    96.097 kPa
27320 ,    297.13 K ,    41.6 % ,    96.102 kPa
28326 ,    296.97 K ,    41.7 % ,    96.091 kPa
29333 ,    296.87 K ,    41.8 % ,    96.090 kPa
30340 ,    296.76 K ,    41.5 % ,    96.094 kPa
